bin1kb	chr	gene
chr6_105676000_105677000	chr6	Cntn4_ENSMUST00000089208_105677774_up1kb;Cntn4_ENSMUST00000113261_105677744_up1kb;Cntn4_ENSMUST00000113264_105677744_up1kb;Cntn4_ENSMUST00000132044_105677659_up1kb;Gm15631_ENSMUST00000142962_105677580_up1kb
chr6_105677000_105678000	chr6	Cntn4_ENSMUST00000089208_105677774_tss;Cntn4_ENSMUST00000113261_105677744_tss;Cntn4_ENSMUST00000113264_105677744_tss;Cntn4_ENSMUST00000132044_105677659_tss;Gm15631_ENSMUST00000142962_105677580_tss
chr6_105678000_105679000	chr6	Cntn4_ENSMUST00000089208_105677774_down1kb;Cntn4_ENSMUST00000113261_105677744_down1kb;Cntn4_ENSMUST00000113264_105677744_down1kb;Cntn4_ENSMUST00000132044_105677659_down1kb;Gm15631_ENSMUST00000142962_105677580_down1kb
chr6_105923000_105924000	chr6	Cntn4_ENSMUST00000113260_105924799_up1kb
chr6_105924000_105925000	chr6	Cntn4_ENSMUST00000113260_105924799_tss
chr6_105925000_105926000	chr6	Cntn4_ENSMUST00000113260_105924799_down1kb
chr6_106117000_106118000	chr6	Cntn4_ENSMUST00000113258_106118764_up1kb;Cntn4_ENSMUST00000125904_106118917_up1kb
chr6_106118000_106119000	chr6	Cntn4_ENSMUST00000113258_106118764_tss;Cntn4_ENSMUST00000125904_106118917_tss;Cntn4_ENSMUST00000079416_106119005_up1kb;Cntn4_ENSMUST00000130040_106119054_up1kb
chr6_106119000_106120000	chr6	Cntn4_ENSMUST00000079416_106119005_tss;Cntn4_ENSMUST00000130040_106119054_tss;Cntn4_ENSMUST00000113258_106118764_down1kb;Cntn4_ENSMUST00000125904_106118917_down1kb
chr6_106120000_106121000	chr6	Cntn4_ENSMUST00000079416_106119005_down1kb;Cntn4_ENSMUST00000130040_106119054_down1kb
chr6_106512000_106513000	chr6	Cntn4_ENSMUST00000132395_106513557_up1kb
chr6_106513000_106514000	chr6	Cntn4_ENSMUST00000132395_106513557_tss
chr6_106514000_106515000	chr6	Cntn4_ENSMUST00000132395_106513557_down1kb
chr6_106678000_106679000	chr6	Cntn4_ENSMUST00000123596_106679269_up1kb
chr6_106679000_106680000	chr6	Cntn4_ENSMUST00000123596_106679269_tss
chr6_106680000_106681000	chr6	Cntn4_ENSMUST00000123596_106679269_down1kb
chr6_106693000_106694000	chr6	Cntn4_ENSMUST00000142626_106694152_up1kb
chr6_106694000_106695000	chr6	Cntn4_ENSMUST00000142626_106694152_tss
chr6_106695000_106696000	chr6	Cntn4_ENSMUST00000142626_106694152_down1kb
chr6_106744000_106745000	chr6	Il5ra_ENSMUST00000167925_106745108_up1kb
chr6_106745000_106746000	chr6	Il5ra_ENSMUST00000167925_106745108_tss
chr6_106746000_106747000	chr6	Il5ra_ENSMUST00000167925_106745108_down1kb
chr6_106768000_106769000	chr6	Trnt1_ENSMUST00000057578_106769165_up1kb;Trnt1_ENSMUST00000113247_106769119_up1kb;Trnt1_ENSMUST00000113248_106769165_up1kb;Trnt1_ENSMUST00000113249_106769140_up1kb;Trnt1_ENSMUST00000147084_106769169_up1kb;Trnt1_ENSMUST00000154026_106769212_up1kb
chr6_106769000_106770000	chr6	Trnt1_ENSMUST00000057578_106769165_tss;Trnt1_ENSMUST00000113247_106769119_tss;Trnt1_ENSMUST00000113248_106769165_tss;Trnt1_ENSMUST00000113249_106769140_tss;Trnt1_ENSMUST00000147084_106769169_tss;Trnt1_ENSMUST00000154026_106769212_tss
chr6_106770000_106771000	chr6	Trnt1_ENSMUST00000057578_106769165_down1kb;Trnt1_ENSMUST00000113247_106769119_down1kb;Trnt1_ENSMUST00000113248_106769165_down1kb;Trnt1_ENSMUST00000113249_106769140_down1kb;Trnt1_ENSMUST00000147084_106769169_down1kb;Trnt1_ENSMUST00000154026_106769212_down1kb
chr6_106798000_106799000	chr6	Crbn_ENSMUST00000151484_106799032_up1kb
chr6_106799000_106800000	chr6	Crbn_ENSMUST00000151484_106799032_tss;Crbn_ENSMUST00000013882_106800064_up1kb;Crbn_ENSMUST00000049675_106800068_up1kb;Crbn_ENSMUST00000113239_106800073_up1kb;Crbn_ENSMUST00000147087_106800060_up1kb
chr6_106800000_106801000	chr6	Crbn_ENSMUST00000013882_106800064_tss;Crbn_ENSMUST00000049675_106800068_tss;Crbn_ENSMUST00000113239_106800073_tss;Crbn_ENSMUST00000147087_106800060_tss;Crbn_ENSMUST00000151484_106799032_down1kb
chr6_106801000_106802000	chr6	Crbn_ENSMUST00000013882_106800064_down1kb;Crbn_ENSMUST00000049675_106800068_down1kb;Crbn_ENSMUST00000113239_106800073_down1kb;Crbn_ENSMUST00000147087_106800060_down1kb
chr6_107000000_107001000	chr6	Gm22418_ENSMUST00000180326_107001451_up1kb
chr6_107001000_107002000	chr6	Gm22418_ENSMUST00000180326_107001451_tss
chr6_107002000_107003000	chr6	Gm22418_ENSMUST00000180326_107001451_down1kb
chr6_107447000_107448000	chr6	AC167724.1_ENSMUST00000184596_107448943_up1kb
chr6_107448000_107449000	chr6	AC167724.1_ENSMUST00000184596_107448943_tss
chr6_107449000_107450000	chr6	AC167724.1_ENSMUST00000184596_107448943_down1kb
chr6_107528000_107529000	chr6	Lrrn1_ENSMUST00000049285_107529725_up1kb
chr6_107529000_107530000	chr6	Lrrn1_ENSMUST00000049285_107529725_tss
chr6_107530000_107531000	chr6	Lrrn1_ENSMUST00000049285_107529725_down1kb
chr6_108064000_108065000	chr6	Setmar_ENSMUST00000049246_108065044_up1kb;Setmar_ENSMUST00000138140_108065061_up1kb
chr6_108065000_108066000	chr6	Setmar_ENSMUST00000049246_108065044_tss;Setmar_ENSMUST00000138140_108065061_tss
chr6_108066000_108067000	chr6	Setmar_ENSMUST00000049246_108065044_down1kb;Setmar_ENSMUST00000138140_108065061_down1kb
chr6_108126000_108127000	chr6	Sumf1_ENSMUST00000166197_108127062_up1kb
chr6_108127000_108128000	chr6	Sumf1_ENSMUST00000166197_108127062_tss
chr6_108128000_108129000	chr6	Sumf1_ENSMUST00000166197_108127062_down1kb
chr6_108139000_108140000	chr6	Gm4604_ENSMUST00000025040_108140508_up1kb
chr6_108140000_108141000	chr6	Gm4604_ENSMUST00000025040_108140508_tss
chr6_108141000_108142000	chr6	Gm4604_ENSMUST00000025040_108140508_down1kb
chr6_108143000_108144000	chr6	Sumf1_ENSMUST00000169446_108144694_up1kb
chr6_108144000_108145000	chr6	Sumf1_ENSMUST00000169446_108144694_tss
chr6_108145000_108146000	chr6	Sumf1_ENSMUST00000169446_108144694_down1kb
chr6_108151000_108152000	chr6	Sumf1_ENSMUST00000171697_108152285_up1kb
chr6_108152000_108153000	chr6	Sumf1_ENSMUST00000171697_108152285_tss
chr6_108153000_108154000	chr6	Sumf1_ENSMUST00000171697_108152285_down1kb
chr6_108184000_108185000	chr6	Sumf1_ENSMUST00000032191_108185581_up1kb;Sumf1_ENSMUST00000167338_108185555_up1kb;Sumf1_ENSMUST00000172188_108185555_up1kb
chr6_108185000_108186000	chr6	Sumf1_ENSMUST00000032191_108185581_tss;Sumf1_ENSMUST00000167338_108185555_tss;Sumf1_ENSMUST00000172188_108185555_tss
chr6_108186000_108187000	chr6	Sumf1_ENSMUST00000032191_108185581_down1kb;Sumf1_ENSMUST00000167338_108185555_down1kb;Sumf1_ENSMUST00000172188_108185555_down1kb
chr6_108212000_108213000	chr6	Itpr1_ENSMUST00000032192_108213117_up1kb
chr6_108213000_108214000	chr6	Itpr1_ENSMUST00000032192_108213117_tss
chr6_108214000_108215000	chr6	Itpr1_ENSMUST00000032192_108213117_down1kb
chr6_10839000_10840000	chr6	Gm26058_ENSMUST00000180294_10840692_up1kb
chr6_10840000_10841000	chr6	Gm26058_ENSMUST00000180294_10840692_tss
chr6_10841000_10842000	chr6	Gm26058_ENSMUST00000180294_10840692_down1kb
chr6_108455000_108456000	chr6	EGOT_ENSMUST00000184343_108456182_up1kb
chr6_108456000_108457000	chr6	EGOT_ENSMUST00000184343_108456182_tss
chr6_108457000_108458000	chr6	EGOT_ENSMUST00000184343_108456182_down1kb
chr6_108564000_108565000	chr6	Gm16433_ENSMUST00000062429_108565692_up1kb
chr6_108565000_108566000	chr6	Gm16433_ENSMUST00000062429_108565692_tss
chr6_108566000_108567000	chr6	Gm16433_ENSMUST00000062429_108565692_down1kb
chr6_10857000_10858000	chr6	PVT1_3_ENSMUST00000184177_10858426_up1kb
chr6_10858000_10859000	chr6	PVT1_3_ENSMUST00000184177_10858426_tss
chr6_10859000_10860000	chr6	PVT1_3_ENSMUST00000184177_10858426_down1kb
chr6_108655000_108656000	chr6	Gm17055_ENSMUST00000166951_108656916_up1kb
chr6_108656000_108657000	chr6	Gm17055_ENSMUST00000166951_108656916_tss
chr6_108657000_108658000	chr6	Gm17055_ENSMUST00000166951_108656916_down1kb
chr6_108659000_108660000	chr6	Bhlhe40_ENSMUST00000032194_108660628_up1kb;0610040F04Rik_ENSMUST00000137478_108660933_up1kb;Bhlhe40_ENSMUST00000163617_108660873_up1kb;Bhlhe40_ENSMUST00000166346_108660798_up1kb
chr6_108660000_108661000	chr6	Bhlhe40_ENSMUST00000032194_108660628_tss;0610040F04Rik_ENSMUST00000137478_108660933_tss;Bhlhe40_ENSMUST00000163617_108660873_tss;Bhlhe40_ENSMUST00000166346_108660798_tss
chr6_108661000_108662000	chr6	Bhlhe40_ENSMUST00000032194_108660628_down1kb;0610040F04Rik_ENSMUST00000137478_108660933_down1kb;Bhlhe40_ENSMUST00000163617_108660873_down1kb;Bhlhe40_ENSMUST00000166346_108660798_down1kb
chr6_108782000_108783000	chr6	Arl8b_ENSMUST00000032196_108783058_up1kb
chr6_108783000_108784000	chr6	Arl8b_ENSMUST00000032196_108783058_tss
chr6_108784000_108785000	chr6	Arl8b_ENSMUST00000032196_108783058_down1kb
chr6_108827000_108828000	chr6	Edem1_ENSMUST00000089162_108828640_up1kb
chr6_108828000_108829000	chr6	Edem1_ENSMUST00000089162_108828640_tss
chr6_108829000_108830000	chr6	Edem1_ENSMUST00000089162_108828640_down1kb
chr6_110644000_110645000	chr6	Grm7_ENSMUST00000071076_110645580_up1kb;Grm7_ENSMUST00000172951_110645581_up1kb;Gm20387_ENSMUST00000173609_110645915_up1kb;Grm7_ENSMUST00000174018_110645580_up1kb
chr6_110645000_110646000	chr6	Grm7_ENSMUST00000071076_110645580_tss;Grm7_ENSMUST00000172951_110645581_tss;Gm20387_ENSMUST00000173609_110645915_tss;Grm7_ENSMUST00000174018_110645580_tss
chr6_110646000_110647000	chr6	Grm7_ENSMUST00000071076_110645580_down1kb;Grm7_ENSMUST00000172951_110645581_down1kb;Gm20387_ENSMUST00000173609_110645915_down1kb;Grm7_ENSMUST00000174018_110645580_down1kb
chr6_110737000_110738000	chr6	Gm20386_ENSMUST00000174010_110738349_up1kb
chr6_110738000_110739000	chr6	Gm20386_ENSMUST00000174010_110738349_tss
chr6_110739000_110740000	chr6	Gm20386_ENSMUST00000174010_110738349_down1kb
chr6_111494000_111495000	chr6	Grm7_ENSMUST00000173001_111495714_up1kb;Grm7_ENSMUST00000174310_111495743_up1kb
chr6_111495000_111496000	chr6	Grm7_ENSMUST00000173001_111495714_tss;Grm7_ENSMUST00000174310_111495743_tss
chr6_111496000_111497000	chr6	Grm7_ENSMUST00000173001_111495714_down1kb;Grm7_ENSMUST00000174310_111495743_down1kb
chr6_111602000_111603000	chr6	Gm22093_ENSMUST00000158980_111603251_up1kb
chr6_111603000_111604000	chr6	Gm22093_ENSMUST00000158980_111603251_tss
chr6_111604000_111605000	chr6	Gm22093_ENSMUST00000158980_111603251_down1kb
chr6_111626000_111627000	chr6	Gm24005_ENSMUST00000158459_111627987_up1kb
chr6_111627000_111628000	chr6	Gm24005_ENSMUST00000158459_111627987_tss
chr6_111628000_111629000	chr6	Gm24005_ENSMUST00000158459_111627987_down1kb
chr6_111991000_111992000	chr6	Gm26362_ENSMUST00000158865_111992109_up1kb
chr6_111992000_111993000	chr6	Gm26362_ENSMUST00000158865_111992109_tss
chr6_111993000_111994000	chr6	Gm26362_ENSMUST00000158865_111992109_down1kb
chr6_111998000_111999000	chr6	Gm25454_ENSMUST00000157947_111999326_up1kb
chr6_111999000_112000000	chr6	Gm25454_ENSMUST00000157947_111999326_tss
chr6_112000000_112001000	chr6	Gm25454_ENSMUST00000157947_111999326_down1kb
chr6_112233000_112234000	chr6	n-R5s165_ENSMUST00000104074_112234261_up1kb
chr6_112234000_112235000	chr6	n-R5s165_ENSMUST00000104074_112234261_tss
chr6_112235000_112236000	chr6	n-R5s165_ENSMUST00000104074_112234261_down1kb
chr6_112272000_112273000	chr6	Lmcd1_ENSMUST00000032376_112273757_up1kb
chr6_112273000_112274000	chr6	Lmcd1_ENSMUST00000032376_112273757_tss
chr6_112274000_112275000	chr6	Lmcd1_ENSMUST00000032376_112273757_down1kb
chr6_112287000_112288000	chr6	5031434C07Rik_ENSMUST00000053559_112288836_up1kb
chr6_112288000_112289000	chr6	5031434C07Rik_ENSMUST00000053559_112288836_tss
chr6_112289000_112290000	chr6	5031434C07Rik_ENSMUST00000053559_112288836_down1kb
chr6_112374000_112375000	chr6	Ssu2_ENSMUST00000123254_112375719_up1kb
chr6_112375000_112376000	chr6	Ssu2_ENSMUST00000123254_112375719_tss
chr6_112376000_112377000	chr6	Ssu2_ENSMUST00000143134_112377726_up1kb;Ssu2_ENSMUST00000123254_112375719_down1kb
chr6_112377000_112378000	chr6	Ssu2_ENSMUST00000143134_112377726_tss
chr6_112378000_112379000	chr6	Ssu2_ENSMUST00000143134_112377726_down1kb
chr6_112387000_112388000	chr6	Ssu2_ENSMUST00000060847_112388022_up1kb
chr6_112388000_112389000	chr6	Ssu2_ENSMUST00000060847_112388022_tss
chr6_112389000_112390000	chr6	Ssu2_ENSMUST00000060847_112388022_down1kb
chr6_112458000_112459000	chr6	Cav3_ENSMUST00000075477_112459500_up1kb
chr6_112459000_112460000	chr6	Cav3_ENSMUST00000075477_112459500_tss
chr6_112460000_112461000	chr6	Cav3_ENSMUST00000075477_112459500_down1kb
chr6_112488000_112489000	chr6	Oxtr_ENSMUST00000053306_112489807_up1kb
chr6_112489000_112490000	chr6	Oxtr_ENSMUST00000053306_112489807_tss
chr6_112490000_112491000	chr6	Oxtr_ENSMUST00000053306_112489807_down1kb
chr6_112512000_112513000	chr6	U6_ENSMUST00000185155_112513446_up1kb
chr6_112513000_112514000	chr6	U6_ENSMUST00000185155_112513446_tss
chr6_112514000_112515000	chr6	U6_ENSMUST00000185155_112513446_down1kb
chr6_112562000_112563000	chr6	Gm15519_ENSMUST00000120088_112563641_up1kb
chr6_112563000_112564000	chr6	Gm15519_ENSMUST00000120088_112563641_tss
chr6_112564000_112565000	chr6	Gm15519_ENSMUST00000120088_112563641_down1kb
chr6_112592000_112593000	chr6	Gm23002_ENSMUST00000179221_112593072_up1kb
chr6_112593000_112594000	chr6	Gm23002_ENSMUST00000179221_112593072_tss
chr6_112594000_112595000	chr6	Gm23002_ENSMUST00000179221_112593072_down1kb
chr6_112604000_112605000	chr6	Gm5578_ENSMUST00000121490_112605543_up1kb
chr6_112605000_112606000	chr6	Gm5578_ENSMUST00000121490_112605543_tss
chr6_112606000_112607000	chr6	Gm5578_ENSMUST00000121490_112605543_down1kb
chr6_112674000_112675000	chr6	Rad18_ENSMUST00000142079_112675775_up1kb
chr6_112675000_112676000	chr6	Rad18_ENSMUST00000142079_112675775_tss
chr6_112676000_112677000	chr6	Rad18_ENSMUST00000142079_112675775_down1kb
chr6_112695000_112696000	chr6	Rad18_ENSMUST00000068487_112696669_up1kb;Rad18_ENSMUST00000077088_112696685_up1kb;Rad18_ENSMUST00000113180_112696610_up1kb;Rad18_ENSMUST00000113182_112696603_up1kb;Rad18_ENSMUST00000132590_112696647_up1kb;Rad18_ENSMUST00000135092_112696643_up1kb;Rad18_ENSMUST00000156063_112696632_up1kb;Gm26799_ENSMUST00000180959_112696776_up1kb
chr6_112696000_112697000	chr6	Rad18_ENSMUST00000068487_112696669_tss;Rad18_ENSMUST00000077088_112696685_tss;Rad18_ENSMUST00000113180_112696610_tss;Rad18_ENSMUST00000113182_112696603_tss;Rad18_ENSMUST00000132590_112696647_tss;Rad18_ENSMUST00000135092_112696643_tss;Rad18_ENSMUST00000156063_112696632_tss;Gm26799_ENSMUST00000180959_112696776_tss
chr6_112697000_112698000	chr6	Rad18_ENSMUST00000068487_112696669_down1kb;Rad18_ENSMUST00000077088_112696685_down1kb;Rad18_ENSMUST00000113180_112696610_down1kb;Rad18_ENSMUST00000113182_112696603_down1kb;Rad18_ENSMUST00000132590_112696647_down1kb;Rad18_ENSMUST00000135092_112696643_down1kb;Rad18_ENSMUST00000156063_112696632_down1kb;Gm26799_ENSMUST00000180959_112696776_down1kb
chr6_112765000_112766000	chr6	Srgap3_ENSMUST00000131835_112766936_up1kb
chr6_112766000_112767000	chr6	Srgap3_ENSMUST00000131835_112766936_tss
chr6_112767000_112768000	chr6	Srgap3_ENSMUST00000131835_112766936_down1kb
chr6_112828000_112829000	chr6	Srgap3_ENSMUST00000143475_112829458_up1kb
chr6_112829000_112830000	chr6	Srgap3_ENSMUST00000143475_112829458_tss
chr6_112830000_112831000	chr6	Srgap3_ENSMUST00000143475_112829458_down1kb
chr6_112945000_112946000	chr6	Srgap3_ENSMUST00000113169_112946753_up1kb
chr6_112946000_112947000	chr6	Srgap3_ENSMUST00000113169_112946753_tss;Srgap3_ENSMUST00000060215_112947265_up1kb;Srgap3_ENSMUST00000088373_112947265_up1kb
chr6_112947000_112948000	chr6	Srgap3_ENSMUST00000060215_112947265_tss;Srgap3_ENSMUST00000088373_112947265_tss;Srgap3_ENSMUST00000113169_112946753_down1kb
chr6_112948000_112949000	chr6	Srgap3_ENSMUST00000060215_112947265_down1kb;Srgap3_ENSMUST00000088373_112947265_down1kb
chr6_112975000_112976000	chr6	Gm6134_ENSMUST00000117265_112976212_up1kb
chr6_112976000_112977000	chr6	Gm6134_ENSMUST00000117265_112976212_tss
chr6_112977000_112978000	chr6	Gm6134_ENSMUST00000117265_112976212_down1kb
chr6_113034000_113035000	chr6	Gm23244_ENSMUST00000083375_113035933_up1kb
chr6_113035000_113036000	chr6	Gm23244_ENSMUST00000083375_113035933_tss
chr6_113036000_113037000	chr6	Gm23244_ENSMUST00000083375_113035933_down1kb
chr6_113045000_113046000	chr6	Thumpd3_ENSMUST00000032398_113046224_up1kb;Thumpd3_ENSMUST00000137396_113046314_up1kb;Thumpd3_ENSMUST00000138278_113046457_up1kb;Thumpd3_ENSMUST00000145054_113046326_up1kb;Thumpd3_ENSMUST00000152795_113046356_up1kb;Thumpd3_ENSMUST00000155378_113046301_up1kb
chr6_113046000_113047000	chr6	Thumpd3_ENSMUST00000032398_113046224_tss;Thumpd3_ENSMUST00000137396_113046314_tss;Thumpd3_ENSMUST00000138278_113046457_tss;Thumpd3_ENSMUST00000145054_113046326_tss;Thumpd3_ENSMUST00000152795_113046356_tss;Thumpd3_ENSMUST00000155378_113046301_tss;Thumpd3_ENSMUST00000134657_113047414_up1kb
chr6_113047000_113048000	chr6	Thumpd3_ENSMUST00000134657_113047414_tss;Thumpd3_ENSMUST00000032398_113046224_down1kb;Thumpd3_ENSMUST00000137396_113046314_down1kb;Thumpd3_ENSMUST00000138278_113046457_down1kb;Thumpd3_ENSMUST00000145054_113046326_down1kb;Thumpd3_ENSMUST00000152795_113046356_down1kb;Thumpd3_ENSMUST00000155378_113046301_down1kb
chr6_113048000_113049000	chr6	Thumpd3_ENSMUST00000134657_113047414_down1kb
chr6_113059000_113060000	chr6	Gm22591_ENSMUST00000104243_113060697_up1kb
chr6_113060000_113061000	chr6	Gm22591_ENSMUST00000104243_113060697_tss
chr6_113061000_113062000	chr6	Gm22591_ENSMUST00000104243_113060697_down1kb
chr6_113064000_113065000	chr6	Thumpd3_ENSMUST00000153310_113065425_up1kb
chr6_113065000_113066000	chr6	Thumpd3_ENSMUST00000153310_113065425_tss
chr6_113066000_113067000	chr6	Thumpd3_ENSMUST00000153310_113065425_down1kb
chr6_113076000_113077000	chr6	Setd5_ENSMUST00000042889_113077364_up1kb;Setd5_ENSMUST00000113157_113077638_up1kb;Gt(ROSA)26Sor_ENSMUST00000124246_113077209_up1kb;Setd5_ENSMUST00000125003_113077601_up1kb;Gt(ROSA)26Sor_ENSMUST00000133467_113077176_up1kb;Setd5_ENSMUST00000136128_113077560_up1kb;Setd5_ENSMUST00000141072_113077577_up1kb;Setd5_ENSMUST00000143998_113077364_up1kb;Gt(ROSA)26Sor_ENSMUST00000159544_113077332_up1kb;Gt(ROSA)26Sor_ENSMUST00000167415_113077190_up1kb
